uniprot_id,gene_name,protein_name,length,alphafold_id
A3KNA7,srebf2,Sterol regulatory element-binding protein 2 (SREBP-2) (Sterol regulatory element-binding transcription factor 2) [Cleaved into: Processed sterol regulatory element-binding protein 2 (Transcription factor SREBF2)],1099,A3KNA7
A3KNL5,atp5if1a,"ATPase inhibitor A, mitochondrial (ATP synthase F1 subunit epsilon A) (Inhibitor of F(1)F(o)-ATPase A) (IF(1) A) (IF1 A) (Protein pinotage)",105,A3KNL5
A3KPA0,jam3b,Junctional adhesion molecule 3B (Jam3b) (Junctional adhesion molecule C) (JAM-C),302,A3KPA0
A3KPA3,naa60,N-alpha-acetyltransferase 60 (EC 2.3.1.259) (Histone acetyltransferase type B protein 4) (HAT4) (EC 2.3.1.48) (N-acetyltransferase 15) (N-alpha-acetyltransferase F) (NatF),242,A3KPA3
A3KPP3,rangrf,Ran guanine nucleotide release factor (RanGNRF) (Ran-binding protein MOG1),183,A3KPP3
A3KPQ7,cemip2,Cell surface hyaluronidase (EC 3.2.1.35) (Cell migration-inducing hyaluronidase 2) (Protein frozen ventricle) (Protein wickham) (Transmembrane protein 2),1378,A3KPQ7
A3KPW9,Bag6,Large proline-rich protein BAG6 (BCL2-associated athanogene 6) (HLA-B-associated transcript 3),1160,A3KPW9
A3KQ86,pllp,Plasmolipin (Plasma membrane proteolipid),173,A3KQ86
A3KQH2,drc9,Dynein regulatory complex protein 9 (IQ domain-containing protein G),346,A3KQH2
A3QJU3,coq8b,"Atypical kinase COQ8B, mitochondrial (EC 2.7.-.-) (AarF domain-containing protein kinase 4) (Coenzyme Q protein 8B)",624,A3QJU3
A4IG62,supv3l1,"ATP-dependent RNA helicase SUPV3L1, mitochondrial (EC 3.6.4.13) (Suppressor of var1 3-like protein 1) (SUV3-like protein 1)",763,A4IG62
A5HAK0,rnasel3,Ribonuclease-like 3 (RNase ZF-3) (RNase-like 3) (ZF-RNase-3) (EC 3.1.27.-) (Dr-RNase 1) [Cleaved into: N-terminal peptide; LF-ZF3],149,A5HAK0
A5PL98,sdhb,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip) (Malate dehydrogenase [quinone] iron-sulfur subunit) (EC 1.1.5.-)",280,A5PL98
A5PN09,usp20,Ubiquitin carboxyl-terminal hydrolase 20 (EC 3.4.19.12) (Deubiquitinating enzyme 20) (Ubiquitin thioesterase 20) (Ubiquitin-specific-processing protease 20),911,A5PN09
A5PN28,otol1a,Otolin-1-A (zOtolin1),489,A5PN28
A5WVX9,zdhhc17,Palmitoyltransferase ZDHHC17 (EC 2.3.1.225) (Acyltransferase ZDHHC17) (EC 2.3.1.-) (DHHC domain-containing cysteine-rich protein 17) (Zinc finger DHHC domain-containing protein 17),620,A5WVX9
A7MBL8,pkn2,Serine/threonine-protein kinase N2 (EC 2.7.11.13) (PKN gamma) (Protein kinase C-like 2) (Protein-kinase C-related kinase 2),977,A7MBL8
A7MBS7,thsd7aa,Thrombospondin type-1 domain-containing protein 7A,1686,A7MBS7
A7YE96,ift70a,Intraflagellar transport protein 70A (Protein fleer) (Tetratricopeptide repeat protein 30A) (TPR repeat protein 30A),651,A7YE96
A8C984,mylk3,Myosin light chain kinase 3 (EC 2.7.11.18) (Cardiac-MyBP-C-associated Ca/CaM kinase) (Cardiac-MLCK),715,A8C984
A8CVX7,ttll6,Tubulin polyglutamylase ttll6 (EC 6.3.2.-) (Protein polyglutamylase TTLL6) (Tubulin tyrosine ligase-like family member 6),778,A8CVX7
A8DZE6,wtip,Wilms tumor protein 1-interacting protein homolog (WT1-interacting protein homolog),648,A8DZE6
A8HAL1,usp16,Ubiquitin carboxyl-terminal hydrolase 16 (EC 3.4.19.12) (Deubiquitinating enzyme 16) (Ubiquitin thioesterase 16) (Ubiquitin-specific-processing protease 16),815,A8HAL1
A8WGA0,cyp27c1,"Cytochrome P450 27C1 (EC 1.14.19.53) (All-trans retinol 3,4-desaturase)",540,A8WGA0
A8WGB1,ccbe1,Collagen and calcium-binding EGF domain-containing protein 1 (Full of fluid protein),401,A8WGB1
A8WIP6,cdk20,Cyclin-dependent kinase 20 (EC 2.7.11.22) (Cell cycle-related kinase) (Cell division protein kinase 20),344,A8WIP6
A9C3R8,rpe65c,Retinal Mueller cells isomerohydrolase (EC 3.1.1.64) (All-trans-retinyl ester 13-cis isomerohydrolase C) (EC 3.1.1.90) (All-trans-retinylester 11-cis isomerohydrolase C) (Lutein isomerase) (Meso-zeaxanthin isomerase) (EC 5.3.3.22) (Retinal pigment epithelium-specific 65 kDa protein homolog C) (RPE56c),532,A9C3R8
A9C3R9,rpe65b,All-trans-retinyl ester 13-cis isomerohydrolase (13cIMH) (EC 3.1.1.90) (Lutein isomerase) (Meso-zeaxanthin isomerase) (EC 5.3.3.22) (Retinal pigment epithelium-specific 65 kDa protein homolog B) (RPE56b),532,A9C3R9
A9ULR9,kctd13,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 1 (BTB/POZ domain-containing protein KCTD13),330,A9ULR9
B0BF33,pkp2,Plakophilin-2,815,B0BF33
B0JYH6,nectin1b,Nectin 1b,541,B0JYH6
B0R0I6,chd8,ATP-dependent chromatin remodeler CHD8 (EC 3.6.4.-) (Chromo domain-containing protein 8) (CHD-8),2511,B0R0I6
B0S5G3,clstn2a,Calsyntenin-2,937,B0S5G3
B0S5N4,plxna3,Plexin A3,1892,B0S5N4
B0S6J3,srgap2,SLIT-ROBO Rho GTPase-activating protein 2 (srGAP2),1100,B0S6J3
B0S6T2,slc15a2,Solute carrier family 15 member 2 (Peptide transporter 2) (PEPT2),719,B0S6T2
B0V1P1,mc4r,Melanocortin receptor 4 (MC4-R),326,B0V1P1
B1Q006,mboat4,Membrane-bound ghrelin O-acyltransferase mboat4 (EC 2.3.1.-) (Membrane-bound O-acyltransferase domain-containing protein 4),415,B1Q006
B2ZFP3,smarcal1,SNF2 related chromatin remodeling annealing helicase 1 (EC 3.6.4.-) (EC 5.6.2.-) (HepA-related protein) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1) (Sucrose nonfermenting protein 2-like 1),807,B2ZFP3
B3DH20,dnaaf11,Dynein axonemal assembly factor 11 (DNAAF11) (Leucine-rich repeat-containing 6-like protein) (Leucine-rich repeat-containing protein 6) (Protein tilB homolog) (Seahorse),440,B3DH20
B3DIG4,fzd5,Frizzled-5 (Fz-5),592,B3DIG4
B3DIV9,klhl40a,Kelch-like protein 40a (Kelch repeat and BTB domain-containing protein 5a),612,B3DIV9
B3DJT0,sart3,"Spliceosome associated factor 3, U4/U6 recycling protein (Squamous cell carcinoma antigen recognized by T-cells 3) (SART-3)",951,B3DJT0
B3DK56,ptpru,Receptor-type tyrosine-protein phosphatase U (R-PTP-U) (EC 3.1.3.48) (Receptor-type protein-tyrosine phosphatase psi) (R-PTP-psi),1444,B3DK56
B3F211,igfbp2b,Insulin-like growth factor-binding protein 2-B (IGF-binding protein 2-B) (IGFBP-2-B) (IGFBP-2b),265,B3F211
B3G515,gper1,G protein-coupled estrogen receptor 1 (G protein-coupled receptor 30),353,B3G515
B5DE31,ybx1,Y-box-binding protein 1 (YB-1) (ZfY1) (Y-box transcription factor),310,B5DE31
B6ZK76,il1rapl1a,Interleukin-1 receptor accessory protein-like 1-A (EC 3.2.2.6),701,B6ZK76
B6ZK77,il1rapl1b,Interleukin-1 receptor accessory protein-like 1-B (EC 3.2.2.6),700,B6ZK77
B7SXM5,ier2,Immediate early response gene 2 protein,180,B7SXM5
B7ZC96,kcnma1a,"Calcium-activated potassium channel subunit alpha-1a (BK channel) (Potassium large conductance calcium-activated channel, subfamily M, alpha member 1a) (Slo1a) (Slowpoke homolog)",1184,B7ZC96
B8A4F0,zdhhc16a,Palmitoyltransferase ZDHHC16A (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 16A) (DHHC-16A),387,B8A4F0
B8A4W9,loxl3b,Lysyl oxidase homolog 3B (EC 1.4.3.-) (EC 1.4.3.13) (Lysyl oxidase-like protein 3B),807,B8A4W9
B8A5S6,amotl2b,Angiomotin-like 2b,681,B8A5S6
B8JI71,eys,Protein eyes shut homolog,2904,
B8JLQ9,cpo,Carboxypeptidase O (EC 3.4.17.-),363,B8JLQ9
B8PYG1,nsmf,NMDA receptor synaptonuclear signaling and neuronal migration factor (Nasal embryonic luteinizing hormone-releasing hormone factor) (Nasal embryonic LHRH factor),570,B8PYG1
B8XY56,rnaset2,Ribonuclease T2 (EC 4.6.1.19) (RNase Dre2),240,B8XY56
C6KFA3,adgrg6,"Adhesion G protein-coupled receptor G6 (G protein-coupled receptor 126) [Cleaved into: Adhesion G protein-coupled receptor G6, N-terminal fragment (ADGRG6 N-terminal fragment) (ADGRG6-NTF); Adhesion G protein-coupled receptor G6, C-terminal fragment (ADGRG6 C-terminal fragment) (ADGRG6-CTF)]",1185,C6KFA3
D2CLZ9,atoh8,Transcription factor atoh8 (Atonal bHLH transcription factor 8) (Protein atonal homolog 8),266,D2CLZ9
E4W698,oxtrb,Oxytocin receptor B (OT-R-B) (Isotocin receptor-like 1) (Itnpr-like 1),382,E4W698
E4W699,oxtra,Oxytocin receptor A (OT-R-A) (Isotocin receptor-like 2) (Itnpr-like 2),388,E4W699
E7EZ53,gal,Galanin peptides [Cleaved into: Galanin; Galanin message-associated peptide],118,E7EZ53
E7EZF3,uhrf1,E3 ubiquitin-protein ligase UHRF1 (EC 2.3.2.27) (Ubiquitin-like PHD and RING finger domain-containing protein 1) (Ubiquitin-like-containing PHD and RING finger domains protein 1),776,E7EZF3
E7EZG2,myo9aa,Unconventional myosin-IXAa (Myosin IXAa),2522,E7EZG2
E7F1H9,ythdf2,YTH domain-containing family protein 2,613,E7F1H9
E7F1U2,dnmbp,Dynamin-binding protein (Scaffold protein Tuba),1673,E7F1U2
E7F3F0,myo9ab,Unconventional myosin-IXAb (Myosin IXAb),2286,E7F3F0
E7F3I6,clp1,Polyribonucleotide 5'-hydroxyl-kinase Clp1 (EC 2.7.1.78) (Polyadenylation factor Clp1) (Polynucleotide kinase Clp1) (Pre-mRNA cleavage complex II protein Clp1),443,E7F3I6
E7F4N7,sting1,Stimulator of interferon genes protein (STING) (Transmembrane protein 173),398,E7F4N7
E7F4V8,pex2,Peroxisome biogenesis factor 2 (EC 2.3.2.27) (EC 2.3.2.36) (Peroxin-2),312,E7F4V8
E7F568,cobl,Protein cordon-bleu,1343,E7F568
E7F590,vps41,Vacuolar protein sorting-associated protein 41 homolog,854,E7F590
E7F594,gpr137ba,G protein-coupled receptor 137Ba,373,E7F594
E7F654,nol9,Polynucleotide 5'-hydroxyl-kinase NOL9 (EC 2.7.1.78) (Nucleolar protein 9),713,E7F654
E7F6F7,abcb7,"Iron-sulfur clusters transporter ABCB7, mitochondrial (ATP-binding cassette sub-family B member 7, mitochondrial)",743,E7F6F7
E7F7X0,lmod3,Leiomodin-3,670,E7F7X0
E7F9L8,myo1d,Unconventional myosin-Id (Myosin 1d) (Myosin1D),1004,E7F9L8
E7FAG6,ambra1a,Activating molecule in BECN1-regulated autophagy protein 1A,1315,E7FAG6
E7FAM5,trim71,E3 ubiquitin-protein ligase TRIM71 (EC 2.3.2.27) (Protein lin-41 homolog) (RING-type E3 ubiquitin transferase TRIM71) (Tripartite motif-containing protein 71),824,E7FAM5
E7FB98,ubiad1,UbiA prenyltransferase domain-containing protein 1 (EC 2.5.1.-) (EC 2.5.1.39) (Protein barolo) (Protein reddish),336,E7FB98
E7FBF7,fcho1,F-BAR domain only protein 1,897,E7FBF7
E7FBY6,adgra2,Adhesion G protein-coupled receptor A2 (G protein-coupled receptor 124),1367,E7FBY6
E7FCP8,nags,"N-acetylglutamate synthase, mitochondrial (EC 2.3.1.1) [Cleaved into: N-acetylglutamate synthase, mature form (NAGS-M); N-acetylglutamate synthase, conserved domain form (NAGS-C)]",527,E7FCP8
E7FE13,lgr4,Leucine-rich repeat-containing G protein-coupled receptor 4,971,E7FE13
E7FEL0,gpr4,G protein-coupled receptor 4 (zGPR4),373,E7FEL0
E7FFT2,tmc2a,Transmembrane channel-like protein 2-A,916,E7FFT2
E9QBI7,oma1,"Metalloendopeptidase OMA1, mitochondrial (zfoma1) (EC 3.4.24.-) (Overlapping with the m-AAA protease 1 homolog)",478,E9QBI7
E9QDC5,hwa,Protein huluwa,294,E9QDC5
E9QG68,usp45,Ubiquitin carboxyl-terminal hydrolase 45 (EC 3.4.19.12) (Ubiquitin specific peptidase 45),803,E9QG68
E9QIN8,klhl41a,Kelch-like protein 41a (Kelch repeat and BTB domain-containing protein 10b),599,E9QIN8
E9QJ30,klhl40b,Kelch-like protein 40b (Kelch repeat and BTB domain-containing protein 5b),618,E9QJ30
E9QJ73,cxcr3.2,C-X-C chemokine receptor type 3-2,378,E9QJ73
F1Q4R9,meox1,Homeobox protein MOX-1 (Mesenchyme homeobox 1) (Protein choker),253,F1Q4R9
F1Q506,snx10a,Sorting nexin-10A,229,F1Q506
F1Q749,dkc1,H/ACA ribonucleoprotein complex subunit DKC1 (EC 5.4.99.-) (Dyskerin),506,F1Q749
F1Q8K0,rad54l,DNA repair and recombination protein RAD54-like (EC 3.6.4.-),738,F1Q8K0
F1Q8R9,pomt2,Protein O-mannosyl-transferase 2 (EC 2.4.1.109),756,F1Q8R9
F1Q8X5,fermt2,Fermitin family homolog 2 (Kindlin-2),684,F1Q8X5
F1QB30,amfra,E3 ubiquitin-protein ligase AMFR (EC 2.3.2.36) (Autocrine motility factor receptor) (AMF receptor),620,F1QB30
F1QBY1,nipblb,Nipped-B-like protein B,2876,
F1QC45,rp2,Protein XRP2,376,F1QC45
F1QCP6,tafazzin,Tafazzin (Taz) (EC 2.3.1.-),262,F1QCP6
F1QCV2,hdac10,Polyamine deacetylase HDAC10 (EC 3.5.1.48) (EC 3.5.1.62) (Histone deacetylase 10),675,F1QCV2
F1QDF8,foxj1a,Forkhead box protein J1-A,458,F1QDF8
F1QEB7,wdr11,WD repeat-containing protein 11,1239,F1QEB7
F1QEG2,klhl41b,Kelch-like protein 41b (Kelch repeat and BTB domain-containing protein 10b),605,F1QEG2
F1QF89,pomt1,Protein O-mannosyl-transferase 1 (EC 2.4.1.109),720,F1QF89
F1QG30,smpd5,Sphingomyelin phosphodiesterase 5 (EC 3.1.4.12) (Mitochondrial neutral sphingomyelinase) (mtnSMase),545,F1QG30
F1QGH7,ctnnb1,Catenin beta-1 (Beta-catenin),780,F1QGH7
F1QGZ6,melk,Maternal embryonic leucine zipper kinase (zMelk) (EC 2.7.11.1) (Protein kinase PK38),676,F1QGZ6
F1QLG5,adnpa,Activity-dependent neuroprotective protein a (ADNP homeobox protein a),969,F1QLG5
F1QLP1,hsd11b2,11-beta-hydroxysteroid dehydrogenase type 2 (11-DH2) (11-beta-HSD2) (11-beta-hydroxysteroid dehydrogenase type II) (11-HSD type II) (11-beta-HSD type II) (Corticosteroid 11-beta-dehydrogenase isozyme 2) (NAD-dependent 11-beta-hydroxysteroid dehydrogenase),414,F1QLP1
F1QLR3,fxr1,RNA-binding protein FXR1 (FMR1 autosomal homolog 1),622,F1QLR3
F1QLY4,roraa,Nuclear receptor ROR-alpha A (Retinoid-related orphan receptor alpha 2) (Retinoid-related orphan receptor-alpha A),468,F1QLY4
F1QN48,fam53b,Protein FAM53B (Protein simplet),379,F1QN48
F1QN54,kif3b,Kinesin-like protein KIF3B,775,F1QN54
F1QNW4,drc4,Dynein regulatory complex subunit 4 (Growth arrest-specific protein 8) (GAS-8),475,F1QNW4
F1QQA8,znf219,Zinc finger protein 219 (Zinc finger protein 219-like),1095,F1QQA8
F1QQC3,loxl2a,Lysyl oxidase homolog 2A (EC 1.4.3.13) (Lysyl oxidase-like protein 2A),737,F1QQC3
F1QQI2,spx,Spexin prohormone 1 (Neuropeptide Q) (Spexin hormone) [Cleaved into: Spexin-1 (Spexin-14)],102,F1QQI2
F1QR43,glceb,D-glucuronyl C5-epimerase B (EC 5.1.3.17),586,F1QR43
F1QSQ0,dsc2l,Desmocollin 2-like protein,934,F1QSQ0
F1QU13,alpk2,Alpha-protein kinase 2 (EC 2.7.11.1) (Heart alpha-protein kinase),1966,F1QU13
F1QVU0,ltk,Tyrosine-protein kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase 1) (alk-1) (Protein moonstone) (mne) (Protein shady) (shd),1530,F1QVU0
F1QWA8,sarm1,NAD(+) hydrolase SARM1 (NADase SARM1) (EC 3.2.2.6) (NADP(+) hydrolase SARM1) (EC 3.2.2.-) (Sterile alpha and TIR motif-containing protein 1),713,F1QWA8
F1QXD3,zdhhc15b,Palmitoyltransferase ZDHHC15B (EC 2.3.1.225) (Acyltransferase ZDHHC15B) (EC 2.3.1.-) (Zinc finger DHHC domain-containing protein 15B),332,F1QXD3
F1QXM5,ldhd,"D-lactate dehydrogenase, mitochondrial (DLD) (Lactate dehydrogenase D) (EC 1.1.98.-)",497,F1QXM5
F1QZ88,e2f8,Transcription factor E2F8 (E2F-8),917,F1QZ88
F1R237,tdrd6,Tudor domain-containing 6,2117,F1R237
F1R2J1,pnx,Homeobox protein pnx (Posterior neuron-specific homeobox),182,F1R2J1
F1R345,ddx11,ATP-dependent DNA helicase DDX11 (EC 5.6.2.3) (DEAD/H-box protein 11) (DNA 5'-3' helicase DDX11),890,F1R345
F1R4C4,pias4a,E3 SUMO-protein ligase PIAS4-A (EC 2.3.2.27) (Protein inhibitor of activated STAT protein 4),505,F1R4C4
F1R4U0,slc25a1b,"Tricarboxylate transport protein B, mitochondrial (Citrate transport protein B) (Solute carrier family 25 member 1b)",317,F1R4U0
F1R520,clstn1,Calsyntenin-1,954,F1R520
F1R5H6,brd4,Bromodomain-containing protein 4,1444,F1R5H6
F1R777,mettl3,N(6)-adenosine-methyltransferase subunit METTL3 (EC 2.1.1.348) (N(6)-adenosine-methyltransferase 70 kDa subunit) (MT-A70),584,F1R777
F1R8P4,glra2,Glycine receptor subunit alpha-2,449,F1R8P4
F1R8Z9,foxj1b,Forkhead box protein J1-B,442,F1R8Z9
F1RA39,mical2b,[F-actin]-monooxygenase mical2b (EC 1.14.13.225) (Molecule interacting with CasL protein 2B) (MICAL-2),1679,F1RA39
F1RAX4,stra6,Receptor for retinol uptake stra6 (Stimulated by retinoic acid gene 6 protein homolog),670,F1RAX4
F1RBC8,abcd1,ATP-binding cassette sub-family D member 1 (EC 3.1.2.-) (EC 7.6.2.-) (Adrenoleukodystrophy protein) (ALDP),766,F1RBC8
F1RCP1,becn1,Beclin-1,447,F1RCP1
F1RCY6,upf1,Regulator of nonsense transcripts 1 (EC 5.6.2.3) (EC 5.6.2.5) (ATP-dependent helicase RENT1) (Double-stranded nucleic acid 5'-3' helicase Upf1) (Nonsense mRNA reducing factor 1) (NORF1) (Up-frameshift suppressor 1 homolog),1100,F1RCY6
F1RD40,mycbp2,E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.33) (Myc-binding protein 2) (Protein Esrom),4574,
F1RD85,loxl3a,Lysyl oxidase homolog 3A (EC 1.4.3.-) (EC 1.4.3.13) (Lysyl oxidase-like protein 3A),739,F1RD85
F1RDG9,fynb,Tyrosine-protein kinase fynb (EC 2.7.10.2) (Proto-oncogene c-Fynb),544,F1RDG9
